year,stream,UNIQUE_ID,geometry,lon,lat
2001,Beaver,1000,"c(-1509951.66505613, 2533130.03579006)",-1509951.6650561278,2533130.0357900625
2001,Beaver,1001,"c(-1509163.13336836, 2533165.15242174)",-1509163.1333683613,2533165.15242174
2001,Beaver,1002,"c(-1509163.13336836, 2533165.15242174)",-1509163.1333683613,2533165.15242174
2001,Beaver,1003,"c(-1509138.37371278, 2533112.18871527)",-1509138.3737127848,2533112.1887152726
2001,Beaver,1004,"c(-1509121.96578902, 2533139.3041152)",-1509121.9657890168,2533139.3041151967
2001,Beaver,1005,"c(-1509121.96578902, 2533139.3041152)",-1509121.9657890168,2533139.3041151967
2001,Beaver,1006,"c(-1509121.96578902, 2533139.3041152)",-1509121.9657890168,2533139.3041151967
2001,Beaver,1007,"c(-1509043.08411318, 2533238.57142047)",-1509043.0841131767,2533238.5714204684
2001,Beaver,1008,"c(-1509040.26918567, 2533255.41556061)",-1509040.2691856734,2533255.415560612
2001,Beaver,1009,"c(-1509040.26918567, 2533255.41556061)",-1509040.2691856734,2533255.415560612
2001,Beaver,1010,"c(-1508946.14732224, 2533268.9178595)",-1508946.1473222391,2533268.9178595003
2001,Beaver,1011,"c(-1508912.3949625, 2533250.93251472)",-1508912.3949625008,2533250.9325147215
2001,Beaver,1012,"c(-1508877.51056461, 2533273.83300519)",-1508877.510564611,2533273.8330051936
2001,Beaver,1013,"c(-1508877.51056461, 2533273.83300519)",-1508877.510564611,2533273.8330051936
2001,Beaver,1014,"c(-1508811.61040465, 2533307.14453372)",-1508811.6104046535,2533307.1445337245
2001,Beaver,1015,"c(-1508705.28948317, 2533266.43340524)",-1508705.2894831733,2533266.433405242
2001,Beaver,1016,"c(-1508697.65150382, 2533259.54804027)",-1508697.651503816,2533259.5480402685
2001,Beaver,1017,"c(-1508697.65150382, 2533259.54804027)",-1508697.651503816,2533259.5480402685
2001,Beaver,1018,"c(-1508521.62724105, 2533354.14016529)",-1508521.6272410476,2533354.1401652857
2001,Beaver,1019,"c(-1508516.340427, 2533368.36311917)",-1508516.3404270022,2533368.363119168
2001,Beaver,1020,"c(-1508405.5477746, 2533432.57684822)",-1508405.547774605,2533432.576848218
2001,Beaver,1021,"c(-1508225.40141506, 2533760.74605972)",-1508225.40141506,2533760.7460597167
2001,Beaver,1022,"c(-1507511.97188132, 2534588.51123523)",-1507511.971881318,2534588.511235234
2001,Beaver,1023,"c(-1507374.13037854, 2534668.14910564)",-1507374.1303785401,2534668.1491056387
2001,Beaver,1024,"c(-1507374.13037854, 2534668.14910564)",-1507374.1303785401,2534668.1491056387
2001,Beaver,1025,"c(-1507374.13037854, 2534668.14910564)",-1507374.1303785401,2534668.1491056387
2001,Beaver,1026,"c(-1507308.30908305, 2534705.58922697)",-1507308.3090830466,2534705.58922697
2001,Beaver,1027,"c(-1507239.18312033, 2534685.70397825)",-1507239.1831203324,2534685.703978254
2001,Beaver,1028,"c(-1507079.49756364, 2534663.67151663)",-1507079.4975636413,2534663.671516629
2001,Beaver,1029,"c(-1506992.54448331, 2534672.63275464)",-1506992.544483315,2534672.632754642
2001,Beaver,1030,"c(-1505954.07245738, 2534996.2551632)",-1505954.0724573825,2534996.255163199
2001,Beaver,1031,"c(-1505851.72226354, 2535059.29981046)",-1505851.7222635392,2535059.299810463
2001,Beaver,1032,"c(-1505851.72226354, 2535059.29981046)",-1505851.7222635392,2535059.299810463
2001,Beaver,1033,"c(-1505911.4284193, 2535129.4942244)",-1505911.4284192964,2535129.4942243965
2001,Beaver,1034,"c(-1505824.93976658, 2535100.50217671)",-1505824.9397665828,2535100.502176708
2001,Beaver,1035,"c(-1505825.283873, 2535081.03811215)",-1505825.2838729979,2535081.038112154
2001,Beaver,1036,"c(-1505341.46573766, 2535179.43371459)",-1505341.465737655,2535179.4337145886
2001,Beaver,1037,"c(-1508738.57799917, 2533322.37133432)",-1508738.5779991657,2533322.3713343153
2001,Big,1055,"c(-1492490.11439751, 2614462.54523169)",-1492490.1143975053,2614462.545231695
2001,Big,1056,"c(-1492385.13138925, 2614702.46007899)",-1492385.1313892521,2614702.4600789878
2001,Big,1057,"c(-1492521.35377897, 2614352.6231243)",-1492521.3537789665,2614352.623124297
2001,Big,1058,"c(-1493012.05420368, 2615184.44713305)",-1493012.0542036805,2615184.4471330517
2001,Big,1059,"c(-1492992.89827831, 2615268.37671108)",-1492992.898278314,2615268.3767110836
2001,Big,1060,"c(-1493048.63704919, 2615459.7628597)",-1493048.6370491886,2615459.7628597016
2001,Big,1061,"c(-1492877.51828402, 2615365.24619857)",-1492877.5182840244,2615365.2461985657
2001,Big,1062,"c(-1493371.33472873, 2615689.51040332)",-1493371.3347287267,2615689.5104033216
2001,Big,1063,"c(-1493466.49375631, 2615815.96711035)",-1493466.4937563122,2615815.9671103535
2001,Big,1064,"c(-1493468.55252579, 2615833.89224644)",-1493468.5525257913,2615833.89224644
2001,Big,1065,"c(-1493468.55252579, 2615833.89224644)",-1493468.5525257913,2615833.89224644
2001,Big,1066,"c(-1493652.25958126, 2615855.29871176)",-1493652.2595812646,2615855.298711758
2001,Big,1067,"c(-1493657.74261799, 2615862.71114271)",-1493657.7426179887,2615862.7111427113
2001,Big,1068,"c(-1493649.1975522, 2615859.73348253)",-1493649.1975522002,2615859.733482529
2001,Big,1069,"c(-1493648.74847518, 2615933.55834045)",-1493648.7484751826,2615933.5583404456
2001,Big,1070,"c(-1493874.53273946, 2616165.81634486)",-1493874.5327394598,2616165.816344863
2001,Big,1071,"c(-1493929.81256587, 2616166.11551)",-1493929.8125658724,2616166.1155100027
2001,Big,1072,"c(-1493917.53575761, 2616206.4367917)",-1493917.5357576106,2616206.4367916975
2001,Big,1073,"c(-1494177.00645833, 2616353.97415374)",-1494177.0064583295,2616353.974153741
2001,Big,1074,"c(-1494400.52047044, 2616353.6618743)",-1494400.5204704374,2616353.661874297
2001,Big,1075,"c(-1494468.99409274, 2616359.02577342)",-1494468.9940927445,2616359.025773423
2001,Big,1076,"c(-1494487.00283199, 2616374.43124655)",-1494487.0028319852,2616374.4312465466
2001,Big,1077,"c(-1494502.06146369, 2616375.81536316)",-1494502.0614636936,2616375.815363165
2001,Big,1078,"c(-1494548.87969128, 2616377.26231183)",-1494548.879691282,2616377.2623118307
2001,Big,1079,"c(-1494595.92062352, 2616377.73328267)",-1494595.9206235176,2616377.73328267
2001,Big,1080,"c(-1494579.16466986, 2616352.3462334)",-1494579.1646698571,2616352.346233402
2001,Big,1081,"c(-1494576.49222495, 2616364.0572968)",-1494576.4922249469,2616364.057296801
2001,Big,1082,"c(-1494600.79169965, 2616378.8452563)",-1494600.7916996523,2616378.845256297
2001,Big,1083,"c(-1494664.67204975, 2616408.82926804)",-1494664.672049748,2616408.829268038
2001,Big,1084,"c(-1494664.67204975, 2616408.82926804)",-1494664.672049748,2616408.829268038
2001,Big,1085,"c(-1494655.76650305, 2616340.05685491)",-1494655.7665030484,2616340.056854905
2001,Big,1086,"c(-1494751.4064063, 2616370.10346106)",-1494751.4064063027,2616370.103461057
2001,Big,1087,"c(-1494723.655432, 2616352.47416417)",-1494723.6554319982,2616352.4741641744
2001,Big,1088,"c(-1494757.08486795, 2616363.18563218)",-1494757.0848679538,2616363.1856321837
2001,Big,1089,"c(-1494755.33159007, 2616348.41073639)",-1494755.331590065,2616348.4107363895
2001,Big,1090,"c(-1494776.45820931, 2616350.15316666)",-1494776.4582093144,2616350.153166658
2001,Big,1091,"c(-1494805.37855363, 2616353.67470457)",-1494805.3785536294,2616353.674704567
2001,Big,1092,"c(-1494813.92453019, 2616320.71562788)",-1494813.9245301867,2616320.7156278817
2001,Big,1093,"c(-1494811.53070287, 2616322.22270063)",-1494811.5307028731,2616322.2227006266
2001,Big,1094,"c(-1494811.53070287, 2616322.22270063)",-1494811.5307028731,2616322.2227006266
2001,Big,1095,"c(-1494832.15605837, 2616335.14506091)",-1494832.1560583664,2616335.145060912
2001,Big,1096,"c(-1494818.01652867, 2616307.2750524)",-1494818.01652867,2616307.2750524
2001,Big,1097,"c(-1494874.13143649, 2616312.89733172)",-1494874.1314364858,2616312.897331718
2001,Big,1098,"c(-1494865.53035084, 2616319.14802875)",-1494865.5303508446,2616319.148028754
2001,Big,1099,"c(-1494874.15901306, 2616326.25154308)",-1494874.1590130555,2616326.2515430823
2001,Big,1100,"c(-1494876.46941328, 2616320.61837121)",-1494876.4694132826,2616320.618371209
2001,Big,1101,"c(-1494888.6888149, 2616325.46126661)",-1494888.6888148992,2616325.461266608
2001,Big,1102,"c(-1494895.06292729, 2616328.96983359)",-1494895.062927292,2616328.9698335915
2001,Big,1103,"c(-1494894.53410619, 2616326.79559241)",-1494894.534106187,2616326.7955924124
2001,Big,1104,"c(-1494890.99921332, 2616319.82809314)",-1494890.9992133167,2616319.8280931404
2001,Big,1105,"c(-1494984.91346883, 2616348.45346683)",-1494984.9134688263,2616348.4534668294
2001,Big,1106,"c(-1494930.32978592, 2616322.64562972)",-1494930.3297859237,2616322.64562972
2001,Big,1107,"c(-1494899.57137526, 2616372.09624018)",-1494899.5713752601,2616372.0962401796
2001,Big,1108,"c(-1494979.09578412, 2616360.47336623)",-1494979.0957841182,2616360.473366233
2001,Big,1109,"c(-1494983.93866107, 2616384.16761678)",-1494983.9386610682,2616384.1676167785
2001,Big,1110,"c(-1495002.75549306, 2616355.60657019)",-1495002.7554930618,2616355.6065701866
2001,Big,1111,"c(-1495025.55204674, 2616367.99768484)",-1495025.5520467383,2616367.997684845
2001,Big,1112,"c(-1495025.55204674, 2616367.99768484)",-1495025.5520467383,2616367.997684845
2001,Big,1113,"c(-1495010.40996866, 2616362.4876734)",-1495010.4099686642,2616362.487673401
2001,Big,1114,"c(-1495020.23557472, 2616368.83761685)",-1495020.2355747195,2616368.837616853
2001,Big,1115,"c(-1495029.39255709, 2616414.05186677)",-1495029.3925570883,2616414.051866768
2001,Big,1116,"c(-1495107.80353281, 2616407.30838793)",-1495107.803532808,2616407.308387928
2001,Big,1117,"c(-1495190.41835845, 2616332.73125059)",-1495190.4183584512,2616332.731250588
2001,Big,1118,"c(-1495244.02837167, 2616322.37976329)",-1495244.0283716654,2616322.3797632926
2001,Big,1119,"c(-1495254.21591675, 2616322.6516917)",-1495254.2159167542,2616322.651691702
2001,Big,1120,"c(-1495286.86621257, 2616318.81017855)",-1495286.866212574,2616318.8101785528
2001,Big,1121,"c(-1495279.65708514, 2616309.97724776)",-1495279.6570851412,2616309.977247765
2001,Big,1122,"c(-1495277.62519173, 2616305.40638315)",-1495277.6251917307,2616305.406383149
2001,Big,1123,"c(-1495343.17614777, 2616310.10160436)",-1495343.1761477676,2616310.1016043597
