REACH,OBS_CLASS,OBS_NAME,DATE,FEATURES,Feature_ID,OBJ_CLASS,EASTING,NORTHING,UNIQUE_ID
BIG1,MONITOR,TA,08272001,19,19,Redd,645014,5004120,1073
BIG1,MONITOR,TA,08272001,20,20,Redd,644796,5004070,1074
BIG1,MONITOR,TA,08272001,21,21,Redd,644728,5004060,1075
BIG1,MONITOR,TA,08272001,22,22,Redd,644707,5004071,1076
BIG1,MONITOR,TA,08272001,23,23,Redd,644692,5004069,1077
BIG1,MONITOR,TA,08272001,24,24,Redd,644646,5004060,1078
BIG1,MONITOR,TA,08272001,25,25,Redd,644600,5004050,1079
BIG1,MONITOR,TA,08272001,26,26,Redd,644622,5004029,1080
BIG1,MONITOR,TA,08272001,27,27,Redd,644622,5004041,1081
BIG1,MONITOR,TA,08272001,28,28,Redd,644595,5004050,1082
BIG1,MONITOR,TA,08272001,29,29,Redd,644526,5004065,1083
BIG1,MONITOR,TA,08272001,30,30,Redd,644526,5004065,1084
BIG1,MONITOR,TA,08272001,31,31,Redd,644550,5004000,1085
BIG1,MONITOR,TA,08272001,32,32,Redd,644450,5004008,1086
BIG1,MONITOR,TA,08272001,33,33,Redd,644481,5003997,1087
BIG1,MONITOR,TA,08272001,34,34,Redd,644446,5004000,1088
BIG1,MONITOR,TA,08272001,35,35,Redd,644451,5003986,1089
BIG1,MONITOR,TA,08272001,36,36,Redd,644430,5003983,1090
BIG1,MONITOR,TA,08272001,37,37,Redd,644401,5003980,1091
BIG1,MONITOR,TA,08272001,38,38,Redd,644400,5003946,1092
BIG1,MONITOR,TA,08272001,39,39,Redd,644402,5003948,1093
BIG1,MONITOR,TA,08272001,40,40,Redd,644402,5003948,1094
BIG1,MONITOR,TA,08272001,41,41,Redd,644379,5003956,1095
BIG1,MONITOR,TA,08272001,42,42,Redd,644399,5003932,1096
BIG1,MONITOR,TA,08272001,43,43,Redd,644343,5003925,1097
BIG1,MONITOR,TA,08272001,44,44,Redd,644350,5003933,1098
BIG1,MONITOR,TA,08272001,45,45,Redd,644340,5003938,1099
BIG1,MONITOR,TA,08272001,46,46,Redd,644339,5003932,1100
BIG1,MONITOR,TA,08272001,47,47,Redd,644326,5003934,1101
BIG1,MONITOR,TA,08272001,48,48,Redd,644319,5003936,1102
BIG1,MONITOR,TA,08272001,49,49,Redd,644320,5003934,1103
BIG1,MONITOR,TA,08272001,50,50,Redd,644325,5003928,1104
BIG1,MONITOR,TA,08272001,51,51,Redd,644227,5003935,1105
BIG1,MONITOR,TA,08272001,52,52,Redd,644286,5003922,1106
BIG1,MONITOR,TA,08272001,53,53,Redd,644305,5003977,1107
BIG1,MONITOR,TA,08272001,54,54,Redd,644230,5003948,1108
BIG1,MONITOR,TA,08272001,55,55,Redd,644220,5003970,1109
BIG1,MONITOR,TA,08272001,56,56,Redd,644208,5003938,1110
BIG1,MONITOR,TA,08272001,57,57,Redd,644183,5003945,1111
BIG1,MONITOR,TA,08272001,58,58,Redd,644183,5003945,1112
BIG1,MONITOR,TA,08272001,59,59,Redd,644199,5003943,1113
BIG1,MONITOR,TA,08272001,60,60,Redd,644188,5003947,1114
BIG1,MONITOR,TA,08272001,61,61,Redd,644169,5003989,1115
BIG1,MONITOR,TA,08272001,62,62,Redd,644094,5003965,1116
BIG1,MONITOR,TA,08272001,63,63,Redd,644030,5003874,1117
BIG1,MONITOR,TA,08272001,64,64,Redd,643980,5003852,1118
BIG1,MONITOR,TA,08272001,65,65,Redd,643970,5003850,1119
BIG1,MONITOR,TA,08272001,66,66,Redd,643939,5003839,1120
BIG1,MONITOR,TA,08272001,67,67,Redd,643948,5003832,1121
BIG1,MONITOR,TA,08272001,68,68,Redd,643951,5003828,1122
BIG1,MONITOR,TA,08272001,69,69,Redd,643886,5003818,1123
BIG1,MONITOR,TA,08272001,70,70,Redd,643878,5003802,1124
BIG1,MONITOR,TA,08272001,71,71,Redd,643905,5003750,1125
BIG1,MONITOR,TA,08272001,72,72,Redd,643837,5003806,1126
