spawn_date,flow_30,flow_60,flow_90
2001-08-31,362.66666666666663,449.48333333333323,627.5666666666664
2001-08-27,393.73333333333335,475,683.4666666666662
2001-08-28,390.3666666666667,467.45000000000005,667.7222222222218
2001-08-29,385.03333333333336,460.96666666666664,653.4111111111114
2002-08-23,650.8333333333333,997.4333333333337,1992.7333333333352
2002-08-26,624.4333333333333,911.6500000000002,1882.211111111113
2002-09-03,584.3666666666667,765.8166666666667,1411.6555555555558
2002-08-19,697.0333333333333,1140.3833333333334,2150.7000000000016
2002-08-20,683.9666666666667,1105.8000000000004,2099.3111111111098
2002-08-24,641.7,967.0500000000002,1960.2555555555534
2002-08-28,611.9333333333333,865.2833333333336,1767.1888888888902
2002-08-31,599.8666666666667,810.9833333333331,1565.100000000001
2002-08-16,741.4,1270.0333333333338,2326.466666666667
2002-08-12,797.7666666666667,1426.0500000000004,2460.477777777777
2002-08-27,617.3,887.3166666666666,1830.7666666666648
2002-08-29,607.9333333333333,845.5,1698.6666666666677
2002-08-06,905.0666666666667,1694.0333333333338,2564.6888888888902
2002-08-11,812.9666666666667,1459.9833333333331,2486.7666666666655
2002-08-21,672.4,1067.0166666666669,2058.5666666666675
2002-08-02,995.3666666666666,1964.5166666666669,2649.011111111111
2002-08-18,711.9666666666667,1178.5166666666669,2212.344444444443
2002-09-05,573.2,739.1333333333334,1320.4222222222215
2002-08-25,632.9666666666667,938.5500000000002,1924.4777777777776
2002-08-22,661.2333333333333,1030.5500000000004,2024.5888888888899
2002-08-30,604.3,827.7333333333331,1630.3777777777764
2001-08-10,482.83333333333337,629.7666666666669,1072.1777777777772
2002-08-14,769.9333333333333,1353.8000000000004,2396.755555555553
2002-09-01,594.8,795.0833333333335,1507.9444444444437
2002-08-10,828.7333333333333,1496.1999999999996,2506.799999999999
2002-08-03,970.2333333333332,1891.6166666666675,2623.8555555555545
2002-08-15,755.5,1313.0833333333335,2363.5
2002-08-07,882.6666666666667,1634.8333333333337,2549.555555555556
2002-09-09,559.1333333333333,693.9333333333333,1183.8444444444451
2002-09-02,589.6666666666666,779.9500000000002,1457.6333333333337
2002-09-10,555.7666666666667,684.3666666666666,1158.5777777777785
2002-09-12,549.0333333333333,666.3500000000001,1110.6777777777772
2002-09-04,578.7333333333333,752.1833333333333,1365.455555555555
2003-08-31,678.6666666666666,901.5833333333335,2087.5
2003-08-26,715.8,1013.5500000000002,2706.811111111113
2003-08-17,805,1364.3333333333335,3317.7777777777756
2003-09-03,654.2333333333333,847.9833333333331,1844.655555555557
2003-08-30,685.5333333333333,921.6166666666666,2185.41111111111
2003-08-20,767.5333333333333,1203.1500000000003,3224.988888888893
2003-08-28,700.4,965.75,2439.9444444444466
2003-08-12,879.5,1680.083333333334,3484.1666666666642
2003-07-31,1157.7,2935.350000000001,3622.4555555555553
2003-08-10,914.7333333333333,1836.6999999999996,3519.3555555555577
2003-08-09,933.6,1927.4666666666662,3531.977777777777
2003-08-05,1018.2333333333332,2338.2833333333338,3571.522222222223
2003-08-14,847.3333333333333,1545,3416.5555555555525
2003-08-25,726.6666666666666,1039.4666666666662,2813.3111111111134
2003-08-01,1124.5,2791.916666666668,3611.944444444446
2003-08-21,756,1160.6500000000003,3172.988888888893
2003-08-29,692.8333333333334,943,2298.8888888888873
2003-09-02,663.9,864.8333333333335,1917.666666666668
2003-09-08,622.0333333333333,777.8166666666667,1492.3222222222214
2003-09-09,619.2666666666667,767,1430.8888888888878
2003-09-04,645.8,832.0166666666669,1774.1222222222236
2003-09-18,591.0666666666667,685.3333333333333,1031.9666666666662
2003-09-06,631.5,802.9000000000001,1630.9333333333325
2003-09-16,597.2333333333333,701.1166666666666,1108.6333333333325
2003-08-27,707.7333333333333,989.1333333333334,2581.7555555555527
2003-08-19,779.6,1252.416666666667,3261.5
2003-08-22,746.3333333333333,1123.75,3098.722222222225
2003-08-18,792.2666666666667,1308.4666666666662,3290.7555555555527
2003-08-15,832.3,1483.4833333333331,3378.7666666666687
2003-08-03,1065.7666666666667,2544.549999999999,3589.58888888889
2003-08-11,896.6333333333334,1755.3166666666673,3504.2111111111094
2003-08-07,974.3,2130.649999999999,3552.8777777777796
2003-09-01,671.8666666666667,882.7000000000002,1998.0222222222224
2003-09-11,614.1666666666666,746.8333333333333,1324.7777777777774
2003-08-24,736.2333333333333,1066.2666666666669,2912.9555555555553
2003-08-16,818.6333333333334,1423.6499999999996,3345.3222222222203
2003-09-05,637.7666666666667,817.0833333333335,1702.3888888888878
2005-08-27,613.2666666666667,885.3499999999998,1516.8999999999992
2005-08-31,577.9666666666667,800.7666666666669,1341.6222222222234
2005-09-03,552.7333333333333,752.8333333333335,1244.5555555555563
2005-08-25,630.8666666666667,940.4833333333331,1609.544444444445
2005-09-02,560.3,767.9500000000002,1274.6333333333323
2005-08-14,758.6666666666667,1249,2220.333333333332
2005-08-26,621.9,913.8000000000001,1563.9777777777776
2005-08-30,587.4,819.1333333333334,1382.755555555555
2005-09-04,545.7,738.4333333333333,1214.6222222222234
2005-08-18,704.9333333333333,1120.6333333333334,1984.8666666666654
2005-09-07,527.3333333333334,699.3666666666666,1134.3555555555563
2005-09-08,521.5666666666667,685.6666666666666,1110.4444444444437
2005-09-06,533.1,711.7833333333335,1160.5222222222224
2005-09-11,509.53333333333336,649.8333333333334,1041.8888888888882
2005-09-15,498.4,614.4666666666667,956.1777777777776
2005-08-11,807.8333333333333,1339.75,2306.833333333332
2004-09-01,683.6333333333333,837.2833333333334,1377.3000000000004
2004-08-28,694.8,901.5166666666669,1498.5666666666673
