Model,df,AIC,delta_AIC,R2_marginal,R2_conditional,RMSE,ICC
m16_rs,17,12965.969,0,0.713,0.984,1.782,0.945
m16_rs_noquad,16,12986.41,20.441,0.714,0.984,1.788,0.943
