Model,df,AIC,delta_AIC,R2_marginal,R2_conditional,RMSE,ICC
m16_rs,17,12948.763,0,0.698,0.985,1.781,0.949
m16,15,13459.046,510.283,0.714,0.981,2.022,0.932
